0,1570630308277,1570630360275,SMVNP9DMTWYZSTETXAUERHOLGSSNISXPEG9NK9RTTKOD9SJ9FSJFFOXLLZJIJURDCKJIAPE9JIRBODLGF
1,1570630360276,1570630404649,NGIHNJPTEYOGUON9RLCESLGWYKKWFOOEMOWVPNYYWLQUOLG9GPOLOETPGTDZVYVHYDAWTYAVOE9IKRULH
2,1570630404649,1570630670462,RSG9WDSEKHQRQGWKCKKHCSR9RA9UNFKYUPNXGSPDHSUXA9ISGPKJHDTVSTSETGCFIWCOPIJUBYMQXIJAD
3,1570630670462,1570630780674,TMWIA9OADPDL9RCVXRFNXYVQPRVBSAYQJSVDEIEUNPNMAILHHAOULPODGAJAIPAAVIFVIYPQQRJCL9MYY
4,1570630780674,1570630906022,SDBDTKJE9HKHHLDMZNYQDHRJDTEYWCCXB9RJXLDDKIMVHMVNHNZCRQMNQDAFGXHAEELCTUWCYDCVQLGBQ
5,1570630906022,1570631055886,KTFNBCWLIJGGEMOJDFIYTAVFUQYOHGOKNOLXDWSWVRBSCLVKKZAKXUOXIPTWRMOSYIMTDLLS9IPQVUPWM
6,1570631055886,1570631173954,HOPXPZISYAYBYVRJKWMRYMWVUJJRIRXIFEWOAGJTKXAHKWFQUKFXKVGUARUILULSWUQNEWTLFYAGYGH9Z
7,1570631173954,1570631300038,FDOUSTCPDXICKJJOFEOKAXDPLPJAG9GTCNUDWOTYUVXEFFNOLNFAFOOYQEDCVMYGUOSNATATJAFOQMJVO
8,1570631300039,1570631442131,FSKHOQARZZXQZCMVELOGVNWKDE9BOP9WQVXKLYQYKTPKRDGUVVVZAWTRLKH9MQOXQFTTBDMWCOGBDHFKL
9,1570631442131,1570631516001,LSRBEI9YMGYZUYOFCNRYIZREQYP9APLMHSJABRG9OQXKUWFYMERAIJYIEXKQSKUSKURXXCMQSCXCCAEZW
